Title,Author,Quantity,Genre
"""Stand Back"", Said the Elephant, ""I'm Going to Sneeze""",Patricia Thomas,1,General Knowledge
(george),E.L. Konigsburg,2,General Knowledge
... And Now Miguel,Joseph Krumgold,1,General Knowledge
10 things i know about elephants,wendy wax,1,General Knowledge
100 Most Disgusting Things On The Planet,Anna Claybourne,1,Science
100 People who Changed America,Russell Freedman,1,General Knowledge
100 people Who Changed America,Russell Freedman!,1,General Knowledge
101 Back-to-School Jokes,Alan Eisenberg & Terry Hall,1,General Knowledge
101 Cool Magic Tricks,Glen Singleton,1,Arts and Recreation
101 Facts About Puppies,Julia Barnes,2,General Knowledge
101 Nutty Nature Jokes,Melvin Berger,1,General Knowledge
11 Planets A New View of the Solar System,David A. Aguilar,1,Science
115 Saintly Fun Facts,Bernadette McCarver Snyder,1,General Knowledge
12 again,sue corbett,1,General Knowledge
13 ghosts: strange but true stories,will osborne,2,Literature
150 Fun Facts Found in the Bible,Bernadette McCarver Snyder,2,Religion
1621 A New Look at Thanksgiving,Catherine O'Neill Grace,1,General Knowledge
"1934 Kit's Surprise, A Christmas Story",Valerie Tripp,3,Literature
20 Party Tricks To Amuse and Amaze Your Friends,Sophie Blackall,1,Arts and Recreation
"20,000 Leagues Under the Sea",Jules Verne,1,General Knowledge
26 fairmont avenue,tomie depaola,1,General Knowledge
26 fairmount avenue,tomie de paola,1,General Knowledge
26 Farmount Avenue,Tomie De Paola,1,General Knowledge
"43 Old Cemetery Road, Dying To Meet You",Kate Klise,1,General Knowledge
5-Minute Star Wars Stories,Disney,1,Literature
a  noverl of kingdom jackarro,cynthia voigt,1,General Knowledge
A Baby Panda is Born,Kristin Osby,1,General Knowledge
A Baby Sister for Frances,Russell Hoban,1,General Knowledge
A Bad Case of Stripes,David Shannon,1,General Knowledge
a bargain for frances,russell hoban,2,General Knowledge
A Bear Named Trouble,Marion Dane Bauer,1,General Knowledge
A Big Fat Enormous Lie,Marjorie Weinman Sharmat,1,General Knowledge
A Birthday Basket for Tia,Pat Mora,1,General Knowledge
a birthday for boots,how to be practically perfect pig,1,General Knowledge
A Birthday for Frances,Russel Hoban,1,General Knowledge
A Blizzard Year,Gretel Ehrlich,1,General Knowledge
a book about Christopher Columbus,Ruth Belou Gross,1,General Knowledge
a book about christopher columbus,ruth gross,1,General Knowledge
A Book about Planets,Betty Polisar Reigot,1,Science
A Book About Planets and Stars,Betty Polisar Reigot,1,Science
A Book About Your Skeleton,Ruth Belov Gross,1,General Knowledge
A Boy at War,Harry Mazer,1,General Knowledge
A Boy No More,Harry Mazer,2,General Knowledge
A Calendar of Festivals,Cherry Gilchrist,1,General Knowledge
a carpone does my shirts,gennifer choldenko,2,General Knowledge
A Chair for my Mother,Vera B. Williams,2,General Knowledge
A Child's Book oF Blessings,Sabrina Dearborn,1,General Knowledge
A Child's Glacier Bay,Kimberly & Hannah Corral,1,General Knowledge
A Child's Portrait of Shakespeare,Louis Burdett,1,General Knowledge
A Chirstmas Tale,Elisabeth Dami,1,Literature
A Christmas Carol,Charles Dickens,5,General Knowledge
A Christmas Treasure,Greg Hildebrandt,1,General Knowledge
A Coal Miner's Bride,Susan Campbell Bartoletti,1,General Knowledge
A Corner of the Universe,Ann M. Martin,1,General Knowledge
A Crooked kind of Perfect,Linda Urban,1,General Knowledge
A Dance of Friendship,Katherine Holabird,1,Arts and Recreation
a dark tale,ruth brown,1,Literature
A Day at the Fair,Arleta RIchardson,1,General Knowledge
A Day No Pigs Would Die,Robert Newton Peck,1,General Knowledge
A Day With Wilbur Robinson,Willaim Joyce,1,General Knowledge
A Dog Called Kitty,Bill Wallace,2,General Knowledge
A Dog's Gotta Do What a Dog's Gotta Do,Marilyn Singer,1,General Knowledge
A Drop of Water,Walter Wick,1,General Knowledge
a drop of waters,walter wick,2,General Knowledge
a fabumouse school adventure,geonimo stilton,1,General Knowledge
A Fairy Merry Christmas,Gail Herman,1,General Knowledge
A Faith Like Mine,Laura Buller,1,Religion
A Field Guide to the Wildlife of North America,Bryan Richard,1,Philosophy and Psychology
a fine start megs prairie diary,kate mcmullan,1,Literature
A Fine White Dust,Cynthia Rylant,4,General Knowledge
A First Bible Story Book,Mary Hoffman,3,Literature
a fly went by,mike mcclintock,1,General Knowledge
A Friend for a Dragon,Dav Pilkey,1,General Knowledge
a gathering of days,joan w blos,1,General Knowledge
A ghost In The House,Betty Ren Wright,1,General Knowledge
a ghost story,pam conrad,1,Literature
A Girl Named Disaster,Nancy Farmer,1,General Knowledge
A Good Night for Ghosts,Mary Pope Osborne,1,General Knowledge
A Great Day for Soccer,Quinlan B. Lee,1,Arts and Recreation
A Hero's Guide To Warriors,Deborah Murrell,2,Philosophy and Psychology
A Horse for Mandy,Mary Daniel,1,General Knowledge
A House Called Awful End,Philip Ardagh,1,General Knowledge
A House Called Awful End (Eddie Dickens Trilogy),Philip Ardagh,1,General Knowledge
A House for Hermit Crab,Eric Carme,2,General Knowledge
A Jungle Expedition,Henri Roujjeau,1,General Knowledge
A Junior Novelization,Daniela Burr,1,Literature
A Kiss for Little Bear,Else Holmelund Minarik,1,General Knowledge
A Knecklace of Raindrops,Joan Alken,1,General Knowledge
A Kwanzaa Miracle,Sharon Shavers Gayle,2,General Knowledge
A Letter for maria,Elizabeth Lindsey,1,General Knowledge
A Letter To Mrs. Roosevelt,C. Coco De Young,1,General Knowledge
A Likely Place,Paula Fox,1,General Knowledge
A Little Book of Slime,Schoolastic,1,General Knowledge
A Long Way from Chicago,Richard Peck,4,General Knowledge
a matter of pride,lucy bledsoe,1,General Knowledge
A Maze Adventure: Storming a Castle,Graham White,1,General Knowledge
A midnight Clear,Katherine Paterson,1,General Knowledge
A Monkey Grows Up,Rita Golden Gelman,1,General Knowledge
A Mother's Journey,Sandra Markle,1,General Knowledge
A Mouse Called Wolf,Dick King-Smith,1,General Knowledge
"A Nancy Drew and Hardy Boys Super Mystery, Dead on Arrivial",Carolyn Keene,1,General Knowledge
"A Nancy Drew and Hardy Boys Super Mystery, Tropic of Fear",Carolyn Keene,3,General Knowledge
A Nation Torn,Delia Ray,1,General Knowledge
A New Coat for Anna,Harriet Ziefert,1,General Knowledge
A New True Book: The Mohawk,Jill Duval,1,General Knowledge
A New True Book: The Seminole,Jill Duval,1,General Knowledge
a newbery halloween,"martin h greenberg, charles g waugh",1,General Knowledge
A Novel of Pearl Harbor,Harry Mazer,2,Literature
A Picture Book of Abraham Lincoln,David A. Adler,3,General Knowledge
A Picture Book of christopher Colombus,David A. Adler,1,General Knowledge
